Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Machine Learning', 'Hadoop', 'Scripting', 'Perl', 'HDI Certification', 'Azure', 'Kafka', 'SQL', 'HBase', 'Big Data', 'Java', 'Cassandra', 'MongoDB', 'Data Warehouse', 'REST', 'NoSQL', 'Python', 'AWS']",20,EY,5654,4,TN,More than $10B (USD),"10,000+",Consulting and Business Services,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sr. Data Engineer,120000-139999,data_engineer,"['SEO', 'Perl', 'SQL', 'Apache', 'S3', 'PostgreSQL', 'Spark', 'Data Warehouse', 'Git', 'Docker', 'Python', 'AWS']",12,"Myers Media Group, LLC.",0,0,Missing,Missing,missing,Not Listed,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staff Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'HBase', 'Big Data', 'Cassandra', 'Spark', 'Design Experience', 'NoSQL', 'AWS']",10,SmartThings,0,0,Missing,Missing,missing,Not Listed,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Pentaho', 'Hadoop', 'SAP', 'SQL', 'Java', 'Big Data', 'MySQL', 'Cassandra', 'PostgreSQL', 'Python']",11,Social Solutions,13,4,TX,Missing,missing,Not Listed,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Engineer (Python, Machine Learning)",120000-139999,data_engineer,"['Java', 'Natural Language Processing', 'AI', 'Machine Learning', 'Scala', 'Python', 'Military Experience']",7,Capital One,6791,4,NY,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Data Engineer,120000-139999,data_engineer,"['Hive', 'Hadoop', 'Scala', 'R', 'Kafka', 'HBase', 'Spark', 'Design Experience', 'Python', 'AWS']",10,Abbott Laboratories,3285,4,IL,More than $10B (USD),"10,000+",Health Care,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Data Engineer,120000-139999,data_engineer,"['Akka', 'Scala', 'Google Cloud Platform', 'Azure', 'Kafka', 'Oracle', 'Apache', 'Java', 'MySQL', 'Cassandra', 'Spark', 'Kubernetes', 'Git', 'PostgreSQL', 'NoSQL', 'AWS']",16,Monsanto,1602,4,MO,More than $10B (USD),"10,000+",Agriculture and Extraction,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AWS Cloud Data Engineer,120000-139999,data_engineer,"['S3', 'Network', 'DynamoDB', 'AWS']",4,Slalom Consulting,52,4,WA,Missing,missing,Consulting and Business Services,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pr. Data Engineer,120000-139999,data_engineer,"['JavaScript', 'Go', 'Hadoop', 'CI/CD', 'Java', 'Spark', 'NoSQL', 'Data Science', 'Python', 'AWS']",10,Medtronic,2789,4,CA,More than $10B (USD),"10,000+",Health Care,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Data Engineer,120000-139999,data_engineer,"['Hive', 'Azure', 'SQL', 'Big Data', 'OpenStack', 'Spring', 'Hadoop', 'Kafka', 'Scala', 'Java', 'Cassandra', 'Spark', 'NoSQL', 'Elasticsearch', 'AWS']",15,Object Partners,0,0,Missing,Missing,missing,Not Listed,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
